Year,Result,Result_Num,Round,Round2,Sets,Opponent,Won,Lost,Bagel,Final,Count,Novak,Roger,Tournament,Player,Level,3SetWin,Straightwin,Order_GS,Order_all,Total_GS,Top
2011,Won,1,F,Final,4,Roger Federer,1,0,0,1,1,0,1,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2011,Won,1,SF,Semi-final,3,Andy Murray,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2011,Won,1,QF,Quarter-final,3,Robin Soderling,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2011,Won,1,R16,Fourth round,3,Ivan Ljubicic,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2011,Won,1,R32,Third round,3,Antonio Veic,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2011,Won,1,R64,Second round,3,Pablo Andujar,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2011,Won,1,R128,First round,5,John Isner,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2012,Won,1,F,Final,4,Novak Djokovic,1,0,0,1,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2012,Won,1,SF,Semi-final,3,David Ferrer,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2012,Won,1,QF,Quarter-final,3,Nicolas Almagro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2012,Won,1,R16,Fourth round,3,Juan Monaco,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2012,Won,1,R32,Third round,3,Eduardo Schwank,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2012,Won,1,R64,Second round,3,Denis Istomin,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2012,Won,1,R128,First round,3,Simone Bolelli,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2013,Won,1,F,Final,3,David Ferrer,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2013,Won,1,SF,Semi-final,5,Novak Djokovic,1,0,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2013,Won,1,QF,Quarter-final,3,Stan Wawrinka,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2013,Won,1,R16,Fourth round,3,Kei Nishikori,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2013,Won,1,R32,Third round,3,Fabio Fognini,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2013,Won,1,R64,Second round,4,Martin Klizan,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2013,Won,1,R128,First round,4,Daniel Brands,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2014,Won,1,F,Final,4,Novak Djokovic,1,0,0,1,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2014,Won,1,SF,Semi-final,3,Andy Murray,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2014,Won,1,QF,Quarter-final,4,David Ferrer,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2014,Won,1,R16,Fourth round,3,Dusan Lajovic,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2014,Won,1,R32,Third round,3,Leonardo Mayer,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2014,Won,1,R64,Second round,3,Dominic Thiem,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2014,Won,1,R128,First round,3,Robby Ginepri,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2015,Won,1,R16,Fourth round,4,Jack Sock,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2015,Won,1,R32,Third round,3,Andrey Kuznetsov,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2015,Won,1,R64,Second round,3,Nicolas Almagro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2015,Won,1,R128,First round,3,Quentin Halys,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2016,Won,1,R64,Second round,3,Facundo Bagnis,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2016,Won,1,R128,First round,3,Samuel Groth,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2017,Won,1,F,Final,3,Stan Wawrinka,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,SF,Semi-final,3,Dominic Thiem,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,QF,Quarter-final,2,Pablo Carreno Busta,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,R16,Fourth round,3,Roberto Bautista Agut,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,R32,Third round,3,Nikoloz Basilashvili,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,R64,Second round,3,Robin Haase,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2017,Won,1,R128,First round,3,Benoit Paire,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2018,Won,1,F,Final,3,Dominic Thiem,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2018,Won,1,SF,Semi-final,3,Juan Martin Del Potro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2018,Won,1,QF,Quarter-final,4,Diego Sebastian Schwartzman,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2018,Won,1,R16,Fourth round,3,Maximilian Marterer,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2018,Won,1,R32,Third round,3,Richard Gasquet,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2018,Won,1,R64,Second round,3,Guido Pella,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2018,Won,1,R128,First round,3,Simone Bolelli,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2019,Won,1,F,Final,4,Dominic Thiem,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2019,Won,1,SF,Semi-final,3,Roger Federer,1,0,0,0,1,0,1,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2019,Won,1,QF,Quarter-final,3,Kei Nishikori,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2019,Won,1,R16,Fourth round,3,Juan Ignacio Londero,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2019,Won,1,R32,Third round,4,David Goffin,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2019,Won,1,R64,Second round,3,Yannick Maden,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2019,Won,1,R128,First round,3,Yannick Hanfmann,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2020,Won,1,F,Final,3,Novak Djokovic,1,0,1,1,1,1,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,SF,Semi-final,3,Diego Sebastian Schwartzman,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,QF,Quarter-final,3,Jannik Sinner,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,R16,Fourth round,3,Sebastian Korda,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,R32,Third round,3,Stefano Travaglia,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,R64,Second round,3,Mackenzie Mcdonald,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2020,Won,1,R128,First round,3,Egor Gerasimov,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2021,Won,1,QF,Quarter-final,4,Diego Sebastian Schwartzman,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2021,Won,1,R16,Fourth round,3,Jannik Sinner,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2021,Won,1,R32,Third round,3,Cameron Norrie,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2021,Won,1,R64,Second round,3,Richard Gasquet,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2021,Won,1,R128,First round,3,Alexei Popyrin,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2022,Won,1,R128,First round,3,Jordan Thompson,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2022,Won,1,R64,Second round,3,Corentin Moutet,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2022,Won,1,R32,Third round,3,Botic van de Zandschulp,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2022,Won,1,R16,Fourth round,5,Felix Auger-Aliassime,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2022,Won,1,QF,Quarter-final,4,Novak Djokovic,1,0,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2022,Won,1,SF,Semi-final,2,Alexander Zverev,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2022,Won,1,F,Final,3,Casper Ruud,1,0,1,1,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2021,Lost,0,SF,Semi-final,4,Novak Djokovic,0,1,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2015,Lost,0,QF,Quarter-final,3,Novak Djokovic,0,1,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2009,Lost,0,R16,Fourth round,4,Robin Soderling,0,1,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2016,Retired,-1,R32,Third round,0,Marcel Granollers,0,1,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,9,0,0,Australian Open,Djokovic,Australian Open,0,0,2,5,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,14,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,5,0,0,US Open,Connors,US Open,0,0,6,0,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,8,0,0,Wimbledon,Federer,Wimbledon,0,0,3,6,Federer - 20,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,7,0,0,Cincinnati,Federer,Masters,0,0,0,7,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,10,0,0,Basel,Federer,ATP 500,0,0,0,4,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,7,0,0,Buenos Aires,Vilas,ATP 250,0,0,0,7,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,12,0,0,Barcelona,Nadal,ATP 500,0,0,0,2,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,10,0,0,Halle,Federer,ATP 500,0,0,0,4,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,10,0,0,Rome,Nadal,Masters,0,0,0,4,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,8,0,0,Dubai,Federer,ATP 500,0,0,0,6,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,6,0,0,Australian Open,Federer,Australian Open,0,0,5,8,,1
Total,Won,1,F,Final,0,Nobody,1,0,0,1,11,0,0,Monte Carlo,Nadal,Masters,0,0,0,3,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,6,0,0,Roland Garros,Borg,Roland Garros,0,0,5,8,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,5,0,0,US Open,Sampras,US Open,0,0,6,0,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,5,0,0,US Open,Federer,US Open,0,0,6,0,,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,7,0,0,Wimbledon,Sampras,Wimbledon,0,0,4,7,Sampras - 14,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,6,0,0,Wimbledon,Djokovic,Wimbledon,0,0,5,8,Djokovic - 20,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,5,0,0,Wimbledon,Borg,Wimbledon,0,0,6,0,Borg - 11,1
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,4,0,0,Australian Open,Agassi,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,Australian Open,Wilander,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Australian Open,Sampras,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Australian Open,Nadal,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Australian Open,Lendl,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Australian Open,Edberg,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Australian Open,Becker,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,Australian Open,Connors,Australian Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,Roland Garros,Wilander,Roland Garros,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,Roland Garros,Lendl,Roland Garros,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Roland Garros,Djokovic,Roland Garros,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,Roland Garros,Federer,Roland Garros,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,Roland Garros,Agassi,Roland Garros,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,4,0,0,US Open,Nadal,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,4,0,0,US Open,McEnroe,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,US Open,Lendl,US Open,0,0,0,0,Lendl - 8,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,US Open,Djokovic,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,US Open,Edberg,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,US Open,Agassi,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,US Open,Wilander,US Open,0,0,0,0,Wilander - 7,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,US Open,Becker,US Open,0,0,0,0,,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,Wimbledon,McEnroe,Wimbledon,0,0,0,0,McEnroe - 7,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,3,0,0,Wimbledon,Becker,Wimbledon,0,0,0,0,Becker - 6,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Wimbledon,Nadal,Wimbledon,0,0,0,0,Nadal - 22,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Wimbledon,Edberg,Wimbledon,0,0,0,0,Edberg - 6,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,2,0,0,Wimbledon,Connors,Wimbledon,0,0,0,0,Connors - 8,
Total,Won,1,GS,Grand Slam,0,Nobody,1,0,0,0,1,0,0,Wimbledon,Agassi,Wimbledon,0,0,0,0,Agassi - 8,
